ajm.overview, "Music composition (AJM tools)";
ajm.midi.programs, "Midi programs for the AJM tools";
analyzer~help, "FFT-Based Perceptual Analysis (Pitch, Loudness, Brightness, Noisiness)";
forbidden~planet, "White, pink noise + filters";
threshold_help~, "outputs bangs when the signal exceeds a specified value";
spectral_transformation, "J-F Charles' tutorials";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
+CNMAT_MMJD_Overview, "A depot of patches for Max/MSP/Jitter (CNMAT)";
01-sinewaves, "generates as many as 256 sine waves";
02-sinusoids~, "generates as many as 1024 sine waves";
03-decaying-sinusoids~, "generates sine waves that exponentially decay down to zero amplitude";
04-resonators~, "resonant filter bank";
14-res-transform, "transformations for Resonance Models";
34-harmonics~, "generates a number of harmonically related sinusoidal oscillators";
35-oscillators~, "oscillators~ works very much like sinusoids~";
metasynth, "Metasynth simulator (Luke DuBois)";
sc.crackle, "A noise generator based on a chaotic function";
sc.dust, "Generates random impulses from 0 to +1";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
ExamplesOverview, "Cycling'74's examples";
X.FM~, "FM/AM Synthesizer";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
bargraf~, "Draws and calculate the signal level";
sfmarkers~, "Returns the list of markers in a .wav or .aiff sound file";
msg.surround, "surround object";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
jscope_help~, "signal-oscilloscope using jitter";
buffer_help~, "the buffer~ object";
GLbuffer~, "show buffer~ data in OpenGL";
