IMI_loadbangs, "tricks to loadbang properly";
IMI_filtering_change, "change to filter out repetitions";
IMI_counter_uzi_line, "various methods for counting in max";
IMI_spray_cycle_gate, "methods to pass numbers";
IMI_modulo, "usage of modulo %";
IMI_max2printer, "print from Max";
network_scanner, "IP on your LAN";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
imi.draw, "lcd drawing tool : use with paintoval, frameoval, framerect, paintrect";
imi.matrix2cell, "copy matrix to cellblock";
imi.matrixinfo, "get info on the matrix";
imi.pushcount, "when hits the threshold, send a bang after a delay";
imi.slide, "the slide object to connect two matrixes";
imi.splitscale, "a mix of the split object and the scale object";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
trignonometry, "triangle, circle, degree, radian, É";
vector, "get started with vectors";
vector_practice, "see how to work with vectors";
polar_cartesian, "2d poltocar, 3d cartopol";
simple_probability, "a simple probability application";
tweening, "simple tweening";
function_interpolation, "tweening using a function";
fractals, "procedural graphics";
PattrKitty, "intro to Pattr";
Pattr_animation, "use presets to make animation";
LFO-fader, "generate numbers using low frequency oscillation";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
jitwebimage, "load an image from the web";
getpaths, "get paths on a specific machine";
shell, "interface to the UNIX shell (printer, scanner)";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
IMI_netSend, "send video, audio, messages over a local network";
IMI_video_output, "send a video matrix through to the firewire output";
asyncread_export, "asyncread export (with antialiasing)";
Jitter2Syphon, "basic patch to use Syphon";
 
